UID,whilecount,教師データ数,指定学生のデータ数,accuracy,precision_y,recall_y,f1_y,precision_n,recall_n,f1_n,featuresdict_sorted
30914025,24,701,264,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.017985532889967144; xUTurnCount: 0.02605692455213907; maxDDTime: 0.030656701142887634; thinkingTime: 0.04026692238886076; maxSpeed: 0.04078421344187863; distance: 0.052430660093368775; yUTurnCount: 0.06502385210898595; maxStopTime: 0.08439728948767558; averageSpeed: 0.0881634136186022; maxDDIntervalTime: 0.09111945839532674; time: 0.10361339066596165; answeringTime: 0.1388206571591529; totalDDIntervalTime: 0.22068098405519299
30914025,25,712,275,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.015338404971488816; xUTurnCount: 0.029160079088261397; maxDDTime: 0.03056824679230278; thinkingTime: 0.039158281522178984; maxSpeed: 0.04155143711106653; distance: 0.052844161825600686; yUTurnCount: 0.06376863642520461; maxStopTime: 0.0851338648141298; averageSpeed: 0.08739151060002193; maxDDIntervalTime: 0.0938242450626705; time: 0.10229531000680131; answeringTime: 0.13773376577470667; totalDDIntervalTime: 0.22123205600556614
30914025,26,723,286,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.01701495985054556; xUTurnCount: 0.026743633613453412; maxDDTime: 0.03083565556789022; thinkingTime: 0.03979374722093261; maxSpeed: 0.040350870628264444; distance: 0.05088869845155546; yUTurnCount: 0.06421521769216262; maxStopTime: 0.0841374324201952; averageSpeed: 0.08682899212917389; maxDDIntervalTime: 0.09586434655999115; time: 0.10138509070471807; answeringTime: 0.13558713574356798; totalDDIntervalTime: 0.2263542194175494
30914025,27,734,297,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.016212845396663657; xUTurnCount: 0.026475097813956797; maxDDTime: 0.029223112407322626; maxSpeed: 0.039182449062772295; thinkingTime: 0.04085081150769848; distance: 0.05167637941772338; yUTurnCount: 0.0668944202002323; maxStopTime: 0.08592005103649479; averageSpeed: 0.08902273187155942; maxDDIntervalTime: 0.09498951789682071; time: 0.10553895838584935; answeringTime: 0.12918273505563369; totalDDIntervalTime: 0.2248308899472724
30914025,28,745,308,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.016392948673182365; xUTurnCount: 0.027078991847171798; maxDDTime: 0.028161834310253136; maxSpeed: 0.03887677916159238; thinkingTime: 0.0397794861840385; distance: 0.04887749030613044; yUTurnCount: 0.07054662354918526; maxStopTime: 0.08401845817156023; averageSpeed: 0.08838187446775449; maxDDIntervalTime: 0.0960215050480066; time: 0.1071830805838189; answeringTime: 0.12650733386977986; totalDDIntervalTime: 0.22817359382752606
30914025,29,756,319,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.017325075029937926; xUTurnCount: 0.025949804951218743; maxDDTime: 0.02816067563123555; maxSpeed: 0.03842821306602269; thinkingTime: 0.03985273129484098; distance: 0.04410157956426807; yUTurnCount: 0.07052157840035377; maxStopTime: 0.08238518701605076; averageSpeed: 0.09152647673753887; time: 0.10288585001442915; maxDDIntervalTime: 0.10364699529234149; answeringTime: 0.13046296166745225; totalDDIntervalTime: 0.22475287133430963
30914025,30,767,330,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.016470954673044214; xUTurnCount: 0.02544823283005196; maxDDTime: 0.027858739403752584; maxSpeed: 0.03880306854655643; thinkingTime: 0.03968878524059659; distance: 0.04523721766004426; yUTurnCount: 0.07048032813986567; maxStopTime: 0.08780587815028788; averageSpeed: 0.09157114168476037; time: 0.10079616021045094; maxDDIntervalTime: 0.10268697374856542; answeringTime: 0.1303792128738908; totalDDIntervalTime: 0.22277330683813265
30914025,31,778,341,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.01385997163228689; maxDDTime: 0.028764890724529275; xUTurnCount: 0.028869061609260872; maxSpeed: 0.039106800746242315; thinkingTime: 0.039836827803184226; distance: 0.042975117193406936; yUTurnCount: 0.06894417714812746; maxStopTime: 0.08557093096353956; averageSpeed: 0.09265163161770654; time: 0.10234021586672343; maxDDIntervalTime: 0.10312196125659158; answeringTime: 0.13062907667826432; totalDDIntervalTime: 0.2233293367601366
30914025,32,789,352,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.016667422778587713; xUTurnCount: 0.02566940730979398; maxDDTime: 0.02744839060172238; maxSpeed: 0.038692698950396134; thinkingTime: 0.039050779669108505; distance: 0.04189489854640734; yUTurnCount: 0.07168931528284199; maxStopTime: 0.08785121754061763; averageSpeed: 0.09526902819896932; time: 0.09960554642711575; maxDDIntervalTime: 0.10333709675186001; answeringTime: 0.13019407176185532; totalDDIntervalTime: 0.22263012618072395
30914025,33,800,363,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.016818679479607444; xUTurnCount: 0.024470381575027525; maxDDTime: 0.02689405784376091; maxSpeed: 0.03744209412008025; thinkingTime: 0.03911424154011689; distance: 0.04488497190246983; yUTurnCount: 0.07345683595398254; maxStopTime: 0.08449500723237324; time: 0.0973236554103381; averageSpeed: 0.1015667594907159; maxDDIntervalTime: 0.10573143994212023; answeringTime: 0.12536074302951666; totalDDIntervalTime: 0.22244113247989045
30914025,34,811,374,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.013150657959209342; maxDDTime: 0.0272294831524461; xUTurnCount: 0.027616176646287963; maxSpeed: 0.03857072904519303; thinkingTime: 0.03939006439945188; distance: 0.04279924105681155; yUTurnCount: 0.07358442497483733; maxStopTime: 0.08183025246949352; time: 0.09852390519671626; averageSpeed: 0.10068047471158709; maxDDIntervalTime: 0.10777190469552617; answeringTime: 0.12491469679414155; totalDDIntervalTime: 0.2239379888982983
30914025,35,822,385,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.015678708041365716; xUTurnCount: 0.02414804748639104; maxDDTime: 0.028044010088409333; maxSpeed: 0.03609916111878025; thinkingTime: 0.039422929030030335; distance: 0.04262371962206224; yUTurnCount: 0.07683211835992025; maxStopTime: 0.08476745682792937; time: 0.09780696243569177; maxDDIntervalTime: 0.10479006309432697; averageSpeed: 0.1049245579382449; answeringTime: 0.12127983761471674; totalDDIntervalTime: 0.22358242834213118
30914025,36,833,396,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.012862246371614521; xUTurnCount: 0.027152940584157667; maxDDTime: 0.02782075156522913; maxSpeed: 0.034731059483124375; thinkingTime: 0.038672604943914675; distance: 0.042065499952131775; yUTurnCount: 0.07383513696669827; maxStopTime: 0.08325674737520362; time: 0.09790215642884532; averageSpeed: 0.10673981265997988; maxDDIntervalTime: 0.11063533682602218; answeringTime: 0.1255719717611282; totalDDIntervalTime: 0.21875373508195037
30914025,37,844,407,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.012093404378429595; xUTurnCount: 0.026362279848715867; maxDDTime: 0.03018545610821409; maxSpeed: 0.035808396348236064; thinkingTime: 0.03779932697385552; distance: 0.04298077786752683; yUTurnCount: 0.07451175303687896; maxStopTime: 0.08455818771572629; time: 0.09402518387451167; averageSpeed: 0.1073011944982578; maxDDIntervalTime: 0.11047199609208533; answeringTime: 0.1259422073866896; totalDDIntervalTime: 0.2179598358708725
30914025,38,855,418,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.014813501818305555; xUTurnCount: 0.02260570432221014; maxDDTime: 0.030152551299315763; maxSpeed: 0.035544410784943505; thinkingTime: 0.037878093199805916; distance: 0.04346867644785162; yUTurnCount: 0.0737501884712144; maxStopTime: 0.08409414320580098; time: 0.09328698956642771; averageSpeed: 0.10638911794728607; maxDDIntervalTime: 0.11178069674535311; answeringTime: 0.12406772741247912; totalDDIntervalTime: 0.22216819877900623
30914025,39,866,429,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.01204709638600149; xUTurnCount: 0.026168606876580448; maxDDTime: 0.030372831371560945; thinkingTime: 0.03526649925242151; maxSpeed: 0.03612185259097365; distance: 0.04535168392447758; yUTurnCount: 0.0727326399189787; maxStopTime: 0.07846992938384288; time: 0.10020747786034048; averageSpeed: 0.10939608043266218; maxDDIntervalTime: 0.11333742900481576; answeringTime: 0.11762760112839274; totalDDIntervalTime: 0.22290027186895153
30914025,40,877,440,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.01205215727503053; xUTurnCount: 0.027135095153210588; maxDDTime: 0.029673468851823405; maxSpeed: 0.03447701972334065; thinkingTime: 0.036256144292083105; distance: 0.043766373918049634; yUTurnCount: 0.0719527528258544; maxStopTime: 0.07886117774999014; time: 0.09645900224575397; averageSpeed: 0.10977860560049921; maxDDIntervalTime: 0.1184934060328517; answeringTime: 0.11885806374291555; totalDDIntervalTime: 0.22223673258859705
30914025,41,888,451,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.012705713141655636; xUTurnCount: 0.02715484930008032; maxDDTime: 0.0296009605424541; maxSpeed: 0.03326652081997218; thinkingTime: 0.03611062546364837; distance: 0.04589999886003665; yUTurnCount: 0.0730888799278696; maxStopTime: 0.08146717850027858; time: 0.09545892547089728; averageSpeed: 0.10872356242135175; answeringTime: 0.11736409166958899; maxDDIntervalTime: 0.11838514875840395; totalDDIntervalTime: 0.22077354512376232
30914025,42,899,462,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.012398162131545598; xUTurnCount: 0.02626738773589776; maxDDTime: 0.029643565664708143; maxSpeed: 0.033431723112910525; thinkingTime: 0.03607336766353881; distance: 0.04552875287506233; yUTurnCount: 0.07432769089144017; maxStopTime: 0.08195718046607446; time: 0.09393966455361952; averageSpeed: 0.11103831969240907; answeringTime: 0.11564334865166277; maxDDIntervalTime: 0.11811742860439813; totalDDIntervalTime: 0.2216334079567327
